YrFireName,Fire,Dataset,N,yr_fire,Latitude,Longitude,Elevation,month_fire,day_fire,Fire_type,State,Sample_design,Plot_size_ha,Threshold_diameter_cm,Study_purpose,,,,
2002 - Ranger Camp Mesic Mid,Ranger Camp Mesic Mid,Varner,50,2002,30.604037,-86.733096,53,2,22,RX,Florida,Individual trees within plots,Trees selected were two closest to plot centers; if nearest was > 20 m away it was skipped. Trees selected in previous plots were not re-selected in next plot. ,15,Fire Effects; Tree Mortality,,,,
2002 - Ranger Camp Mesic Southeast,Ranger Camp Mesic Southeast,Varner,48,2002,30.604037,-86.733096,53,3,4,RX,Florida,Individual trees within plots,Trees selected were two closest to plot centers; if nearest was > 20 m away it was skipped. Trees selected in previous plots were not re-selected in next plot. ,15,Fire Effects; Tree Mortality,,,,
2002 - Ranger Camp Xeric Mid,Ranger Camp Xeric Mid,Varner,50,2002,30.604037,-86.733096,53,4,7,RX,Florida,Individual trees within plots,Trees selected were two closest to plot centers; if nearest was > 20 m away it was skipped. Trees selected in previous plots were not re-selected in next plot. ,15,Fire Effects; Tree Mortality,,,,
2002 - Ranger Camp Xeric NE,Ranger Camp Xeric NE,Varner,50,2002,30.604037,-86.733096,53,3,14,RX,Florida,Individual trees within plots,Trees selected were two closest to plot centers; if nearest was > 20 m away it was skipped. Trees selected in previous plots were not re-selected in next plot. ,15,Fire Effects; Tree Mortality,,,,
2002 - Ranger Camp Xeric NW,Ranger Camp Xeric NW,Varner,49,2002,30.604037,-86.733096,53,8,3,RX,Florida,Individual trees within plots,Trees selected were two closest to plot centers; if nearest was > 20 m away it was skipped. Trees selected in previous plots were not re-selected in next plot. ,15,Fire Effects; Tree Mortality,,,,
2002 - Ranger Camp Xeric Southwest,Ranger Camp Xeric Southwest,Varner,50,2002,30.604037,-86.733096,53,4,24,RX,Florida,Individual trees within plots,Trees selected were two closest to plot centers; if nearest was > 20 m away it was skipped. Trees selected in previous plots were not re-selected in next plot. ,15,Fire Effects; Tree Mortality,,,,
2002 - REDW Copper Creek,REDW Copper Creek,NPS,121,2002,41.150854,-123.894483,719,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Rodeo,Rodeo,Cram,408,2002,34.233331,-110.46316,1984,6,18,Wild,Arizona,Variable radius plot,2.296,not available,Fuel Treatment Effects,,,,
2002 - Rodeo,Rodeo,Hood,640,2002,34.233331,-110.46316,1984,6,18,Wild,Arizona,Variable radius plot,2.296,12.7,Tree Mortality,,,,
2002 - SEKI Highway,SEKI Highway,NPS,22,2002,36.573504,-118.758932,2103,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - SEKI Highway 2,SEKI Highway 2,NPS,27,2002,36.57336389,-118.7604021,2081,7,15,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Snow Mountain - Fall,Snow Mountain - Fall,Westlind,214,2002,43.867216,-119.665559,1618,10,NA,Rx,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2002 - Southeastern Piedmont Clemson SC 76,Southeastern Piedmont Clemson SC 76,McIver,503,2002,34.746433,-82.880846,260,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Southeastern Piedmont Clemson SC 77,Southeastern Piedmont Clemson SC 77,McIver,474,2002,34.619409,-82.816266,231,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Southeastern Piedmont Clemson SC 78,Southeastern Piedmont Clemson SC 78,McIver,523,2002,34.610285,-82.883429,222,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Southern Cascades Goosenest CA 181,Southern Cascades Goosenest CA 181,McIver,352,2002,41.600375,-121.846827,1516,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Southern Cascades Goosenest CA 182,Southern Cascades Goosenest CA 182,McIver,462,2002,41.563456,-121.893656,1558,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Southern Cascades Goosenest CA 183,Southern Cascades Goosenest CA 183,McIver,549,2002,41.554518,-121.863819,1685,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Southern Sierra Nevada Sequoia CA 2,Southern Sierra Nevada Sequoia CA 2,McIver,478,2002,36.594165,-118.752014,2044,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Southern Sierra Nevada Sequoia CA 3,Southern Sierra Nevada Sequoia CA 3,McIver,480,2002,36.591892,-118.755182,1968,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Southern Sierra Nevada Sequoia CA 8,Southern Sierra Nevada Sequoia CA 8,McIver,482,2002,36.573397,-118.772141,1984,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Tenderfoot Fall,Tenderfoot Fall,Hood,1465,2002,46.921189,-110.891078,2124,9,11,RX,Montana,Fixed-area plot,0.04 for even retention units; 0.027 for group retention units,10.2,Fire-insect Interactions; Forest Dynamics; Tree Mortality,,,,
2002 - Tiller,Tiller,Progar,416,2002,42.993975,-122.701509,690,8,1,Wild,Oregon,Variable radius plot,not available; BAF varied to sample at least 8 trees perplot,not available,Fire-insect Interactions; Tree Mortality,,,,
2002 - ZION Blue Creek,ZION Blue Creek,NPS,193,2002,37.378166,-113.033798,2273,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Amethyst,Amethyst,Smith,85,2003,44.82315,-110.27712,2682,7,9,Wild,Wyoming,Fixed-area plot,0.038,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2003 - B and B,B and B,Progar,1562,2003,44.510852,-121.771041,1516,8,19,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2003 - Black Mountain 2,Black Mountain 2,Davis,387,2003,46.846227,-114.186504,1258,8,8,Wild,Montana,Fixed-area plot,0.04,7.62,Fire-insect Interactions; Tree Mortality,,,,
2003 - Bull Springs,Bull Springs,Progar,495,2003,44.851634,-118.837922,1594,9,1,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2003 - Clark,Clark,Progar,979,2003,43.99172,-122.547249,597,7,13,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2003 - Davis Lake,Davis Lake,Progar,674,2003,43.60356,-121.793762,1526,6,28,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2003 - East,East,Smith,45,2003,44.492684,-110.170722,2713,8,NA,Wild,Wyoming,Fixed-area plot,0.125,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2003 - ELMA Big Tubes,ELMA Big Tubes,NPS,5,2003,34.93806,-108.106023,2303,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - ELMA Corral Road,ELMA Corral Road,NPS,38,2003,34.969845,-108.02968,2260,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - ELMA Double Sinks,ELMA Double Sinks,NPS,11,2003,34.961307,-108.020387,2258,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - ELMA North Little Hole,ELMA North Little Hole,NPS,41,2003,34.917311,-108.087942,2281,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - GRCA Boundary,GRCA Boundary,NPS,57,2003,36.358693,-112.349053,2324,NA,NA,PNF,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Griff,Griff,Progar,332,2003,47.876514,-123.540849,1361,9,6,Wild,Washington,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2003 - Happy Jack,Happy Jack,Breece,468,2003,34.641702,-111.399671,2141,10,NA,RX,Arizona,Fixed-area plot,0.03,13,Fire-insect Interactions; Tree Mortality,,,,
2003 - Herman Creek,Herman Creek,Progar,371,2003,45.684936,-121.784623,307,9,2,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2003 - Hog Flat - Spring,Hog Flat - Spring,Westlind,248,2003,44.034445,-118.554998,1562,6,NA,Rx,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2003 - LABE South Boundary,LABE South Boundary,NPS,53,2003,41.698153,-121.502962,1498,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Lakeside-Pinetop,Lakeside-Pinetop,Breece,365,2003,34.143554,-109.92708,2212,10,NA,RX,Arizona,Fixed-area plot,0.03,13,Fire-insect Interactions; Tree Mortality,,,,
2003 - REDW Xowannatuk,REDW Xowannatuk,NPS,19,2003,41.224027,-123.972945,562,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - SEKI Tharps,SEKI Tharps,NPS,10,2003,36.56021681,-118.7398499,2083,8,11,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - SEKI Upper Deadwood,SEKI Upper Deadwood,NPS,22,2003,36.471131,-118.663601,2209,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Snow Mountain - Spring,Snow Mountain - Spring,Westlind,109,2003,43.867216,-119.665559,1618,6,NA,Rx,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2003 - Southern Appalachian Mts Green River NC 81,Southern Appalachian Mts Green River NC 81,McIver,339,2003,35.289758,-82.33088,638,NA,NA,RX,North Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southern Appalachian Mts Green River NC 82,Southern Appalachian Mts Green River NC 82,McIver,302,2003,35.281215,-82.324748,637,NA,NA,RX,North Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southern Appalachian Mts Green River NC 83,Southern Appalachian Mts Green River NC 83,McIver,346,2003,35.26303,-82.287944,526,NA,NA,RX,North Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southern Appalachian Mts Green River NC 87,Southern Appalachian Mts Green River NC 87,McIver,252,2003,35.287292,-82.32477,634,NA,NA,RX,North Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southern Appalachian Mts Green River NC 88,Southern Appalachian Mts Green River NC 88,McIver,315,2003,35.282294,-82.327536,654,NA,NA,RX,North Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southern Appalachian Mts Green River NC 89,Southern Appalachian Mts Green River NC 89,McIver,318,2003,35.259838,-82.28963,543,NA,NA,RX,North Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southwestern Plateau Northern Arizona 146,Southwestern Plateau Northern Arizona 146,McIver,355,2003,35.176137,-112.027979,2064,NA,NA,RX,Arizona,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southwestern Plateau Northern Arizona 147,Southwestern Plateau Northern Arizona 147,McIver,546,2003,35.232143,-111.74851,2262,NA,NA,RX,Arizona,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southwestern Plateau Northern Arizona 148,Southwestern Plateau Northern Arizona 148,McIver,910,2003,35.20832,-111.764398,2246,NA,NA,RX,Arizona,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southwestern Plateau Northern Arizona 149,Southwestern Plateau Northern Arizona 149,McIver,132,2003,35.174845,-112.022867,2069,NA,NA,RX,Arizona,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southwestern Plateau Northern Arizona 150,Southwestern Plateau Northern Arizona 150,McIver,181,2003,35.235817,-111.747863,2268,NA,NA,RX,Arizona,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Southwestern Plateau Northern Arizona 151,Southwestern Plateau Northern Arizona 151,McIver,146,2003,35.205984,-111.761673,2243,NA,NA,RX,Arizona,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2003 - Tenderfoot Spring,Tenderfoot Spring,Hood,337,2003,46.921189,-110.891078,2124,10,1,RX,Montana,Fixed-area plot,0.04 for even retention units; 0.027 for group retention units,10.2,Fire-insect Interactions; Forest Dynamics; Tree Mortality,,,,
2003 - WHIS Shasta Divide,WHIS Shasta Divide,NPS,115,2003,40.579159,-122.524696,341,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - Black Rock,Black Rock,Westlind,592,2004,43.853325,-118.80695,1649,10,NA,Rx,Oregon,Individual tree,NA,7.5,Fire-insect Interactions; Tree Mortality,,,,
2004 - Bonanza,Bonanza,Progar,104,2004,45.00122,-121.992419,1066,7,1,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2004 - Collins Park,Collins Park,Breece,253,2004,33.609736,-108.486571,2378,5,NA,RX,New Mexico,Fixed-area plot,0.03,13,Fire-insect Interactions; Tree Mortality,,,,
2004 - Deadmans,Deadmans,Davis,189,2004,44.964807,-115.53347,1561,5,NA,RX,Idaho,Fixed-area plot,0.04,7.62,Fire-insect Interactions; Tree Mortality,,,,
2004 - Fischer,Fischer,Progar,190,2004,47.586844,-120.522369,855,8,8,Wild,Washington,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2004 - Gabe,Gabe,Westlind,300,2004,43.96444,-118.861111,1594,10,NA,Rx,Oregon,Individual tree,NA,7.5,Tree Mortality,,,,
2004 - GRCA Long Jim III,GRCA Long Jim III,NPS,56,2004,36.036854,-112.099992,2160,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - GRCA NW V,GRCA NW V,NPS,47,2004,36.344873,-112.269008,2475,NA,NA,NA,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - GRCA Outlet,GRCA Outlet,NPS,21,2004,36.225633,-112.079333,2536,NA,NA,NA,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - GRCA Uncle Jim,GRCA Uncle Jim,NPS,30,2004,36.233005,-112.034161,2557,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - GRCA Walhalla,GRCA Walhalla,NPS,137,2004,36.179635,-111.99258,2480,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - GRCA Walla Valley,GRCA Walla Valley,NPS,33,2004,36.2954,-112.21385,2498,NA,NA,PNF,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - Kendrick Mountain,Kendrick Mountain,Breece,206,2004,35.385894,-111.911559,2250,3,NA,RX,Arizona,Fixed-area plot,0.03,13,Fire-insect Interactions; Tree Mortality,,,,
2004 - LAVO Butte Lake,LAVO Butte Lake,NPS,223,2004,40.581287,-121.29656,1794,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - Medicine Mountain,Medicine Mountain,Battaglia,1113,2004,43.933327,-103.700004,1946,10,19,RX,South Dakota,Nested fixed-area plot,0.00785 and 0.00125,0.25 and 0; trees larger than 10 cm DBH not sampled,Tree Mortality,,,,
2004 - Nile,Nile,Progar,363,2004,46.857473,-121.004986,900,9,15,RX,Washington,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2004 - Northeastern Cascades Mission Creek WA 2004,Northeastern Cascades Mission Creek WA 2004,Bakker,2914,2004,47.448836,-120.596489,1101,NA,NA,RX,Washington,Fixed-area plot,0.1,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - Parks,Parks,Davis,246,2004,44.959899,-116.047474,1631,5,NA,RX,Idaho,Fixed-area plot,0.04,7.62,Fire-insect Interactions; Tree Mortality,,,,
2004 - Power,Power,Hood,645,2004,38.501898,-120.280086,1353,NA,NA,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
2004 - SEKI Grant West I,SEKI Grant West I,NPS,27,2004,36.74581854,-118.9771663,1898,9,28,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - Southeastern Piedmont Clemson SC 67,Southeastern Piedmont Clemson SC 67,McIver,596,2004,34.609492,-82.823444,237,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - Southeastern Piedmont Clemson SC 69,Southeastern Piedmont Clemson SC 69,McIver,317,2004,34.614388,-82.828862,239,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - Southeastern Piedmont Clemson SC 71,Southeastern Piedmont Clemson SC 71,McIver,268,2004,34.744126,-82.822095,284,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - Squaw Creek,Squaw Creek,Progar,504,2004,48.101572,-120.033074,624,10,7,RX,Washington,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2004 - Squaw Meadow,Squaw Meadow,Westlind,300,2004,44.368603,-118.525008,1602,10,NA,Rx,Oregon,Individual tree,NA,7.5,Tree Mortality,,,,
2004 - Tennant,Tennant,Westlind,1090,2004,41.558053,-121.913619,1549,10,NA,Rx,California,Individual tree,NA,7.5,Tree Mortality,,,,
2004 - Tharps2,Tharps2,USGS_Demog,275,2004,36.56328,-118.74282,2185,6,28,RX,California,Fixed-area plot,1 and 1.125,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2004 - ZION Cleartrap,ZION Cleartrap,NPS,195,2004,37.2502,-112.910015,2082,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2005 - Blossom,Blossom,Progar,411,2005,42.7499,-123.883319,365,7,21,Wild,Oregon,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2005 - Chickadee,Chickadee,Smith,63,2005,44.485014,-110.635945,2617,7,21,Wild,Wyoming,Fixed-area plot,0.125,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2005 - Fort Gordon Treatment,Fort Gordon Treatment,Obrien,10,2005,33.398497,-82.183886,126,6,25,RX,Georgia,Individual tree,NA,NA,Tree Mortality; Tree Physiology,,,,
2005 - Fort Gordon Wildfire,Fort Gordon Wildfire,Obrien,8,2005,33.398497,-82.183886,126,6,25,Wild,Georgia,Individual tree,NA,NA,Tree Mortality; Tree Physiology,,,,
2005 - GRCA Long Jim I,GRCA Long Jim I,NPS,95,2005,36.021695,-112.078977,2172,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2005 - GRCA Outlet,GRCA Outlet,NPS,58,2005,36.210884,-112.110913,2418,NA,NA,NA,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2005 - GRCA Walhalla,GRCA Walhalla,NPS,60,2005,36.17964,-111.992591,2480,NA,NA,NA,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2005 - Harding,Harding,Stevens,120,2005,39.633453,-120.309832,1660,8,24,Wild,California,Individual trees within plots,4 trees per plot; point-centered quarter method,10,Fuel Treatment Effects,,,,
2005 - Horse Nugget,Horse Nugget,Battaglia,1090,2005,44.033327,-103.566671,1673,10,28,RX,South Dakota,Nested fixed-area plot,0.07 and 0.00125,0.25 and 0; trees larger than 10 cm DBH not sampled,Tree Mortality,,,,
2005 - Pearrygin Lake,Pearrygin Lake,Progar,362,2005,48.507893,-120.13251,847,7,3,Wild,Washington,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2005 - Rankin Tower,Rankin Tower,Battaglia,647,2005,43.626269,-103.476042,1448,10,25,RX,South Dakota,Nested fixed-area plot,0.07 and 0.00125,0.25 and 0; trees larger than 10 cm DBH not sampled,Tree Mortality,,,,
2005 - School,School,Progar,596,2005,46.285311,-117.616142,1321,8,5,Wild,Washington,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
2005 - Second Hud,Second Hud,Progar,224,2005,48.462841,-119.442353,710,6,4,Wild,Washington,Individual tree,NA,NA,Fire-insect Interactions; Tree Mortality,,,,
